#"Step","Potential Energy (kJ/mole)","Temperature (K)"
1000,-21221.8984375,289.2325320592758
2000,-22058.1171875,302.62651854139
3000,-22254.015625,303.1049021051704
4000,-22158.287109375,310.5966522532042
5000,-22239.40625,305.62536057071526
6000,-22954.45703125,317.3426194761222
7000,-23178.560546875,322.8075366540179
8000,-23491.87109375,312.05718340309295
9000,-23933.212890625,309.749571701319
10000,-23798.1015625,298.6764215023487
11000,-23679.3828125,308.93049568939813
12000,-24609.546875,309.70289530154764
13000,-24389.623046875,320.80759957912943
14000,-25145.275390625,307.19671562772754
15000,-25786.92578125,299.18201620943415
16000,-26142.8359375,300.61829039556665
17000,-26550.17578125,304.98664430771197
18000,-26330.42578125,304.10424534668834
19000,-26374.15625,302.4252874675294
20000,-26875.759765625,307.83575401788113
21000,-26830.6796875,311.5967905381342
22000,-26536.5234375,326.0623795325177
23000,-26606.208984375,312.43332408745636
24000,-26587.3203125,319.02611378374166
25000,-26580.9921875,309.6637456236061
26000,-26659.73046875,306.8507851136301
27000,-26625.28125,317.3198662326592
28000,-26761.86328125,311.53949521344157
29000,-27010.91015625,309.4205364742123
30000,-26736.361328125,304.1580099851464
31000,-26717.0078125,324.48972951878744
32000,-26695.84375,296.00626928654304
33000,-26683.5703125,319.88938685333176
34000,-26709.61328125,318.748461965846
35000,-26846.1015625,300.7181998883581
36000,-26672.10546875,316.3356515945293
37000,-26343.3515625,318.1042896351387
38000,-26596.841796875,312.45340088766153
39000,-26802.41015625,311.73652511047777
40000,-26819.78125,310.54597508640455
41000,-26788.359375,310.01217136266456
42000,-26910.62109375,300.9619343327969
43000,-27096.4375,313.3409470994844
44000,-26921.67578125,309.97014269760933
45000,-27189.044921875,305.2172482486416
46000,-27005.6171875,310.79271179175385
47000,-27232.453125,306.5410601574002
48000,-27093.0078125,319.3811293336115
49000,-27557.583984375,306.3018420905319
50000,-27519.3984375,307.1519199372203
